formulacao;manteiga_1;manteiga_2;oleo;perc_lipidio1;perc_lipidio2;perc_tensoativo;pdi;tamanho;translucida;PontoDeNuvem;Lipidio1;PontoFusao1;Perc_Ac_Palmitico1;Perc_Ac_Estearico1;Perc_Ac_Oleico1;Perc_Ac_Linoleico1;Perc_Ac_Vacenico1;Perc_Ac_Linolenico1;Perc_Ac_Caprilico1;Perc_Ac_Caprico1;Perc_Ac_Laurico1;Perc_Ac_Miristico1;Perc_Ac_Palmitoleico1;Perc_Ac_Beenico1;Perc_Ac_Valerico1;Perc_Ac_Araquidico1;Perc_Outros1;Perc_AG_Saturados1;Perc_AG_Insaturados1;Lipidio2;PontoFusao2;Perc_Ac_Palmitico2;Perc_Ac_Estearico2;Perc_Ac_Oleico2;Perc_Ac_Linoleico2;Perc_Ac_Vacenico2;Perc_Ac_Linolenico2;Perc_Ac_Caprilico2;Perc_Ac_Caprico2;Perc_Ac_Laurico2;Perc_Ac_Miristico2;Perc_Ac_Palmitoleico2;Perc_Ac_Beenico2;Perc_Ac_Valerico2;Perc_Ac_Araquidico2;Perc_Outros2;Perc_AG_Saturados2;Perc_AG_Insaturados2
1;Murumuru;;Açaí;25;25;50;0,1054;25,24;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
2;Murumuru;;Açaí;50;16,65;33,35;0,118;72,1;0;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
3;Murumuru;;Açaí;16,65;50;33,35;0,5644;277,1;0;0;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
4;Murumuru;;Açaí;37,5;37,5;25;0,1845;83,22;NULL;NULL;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
5;Murumuru;;Açaí;50;25;25;0,129;26,03;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
6;Murumuru;;Açaí;16,65;25;58,35;0,1811;25,15;NULL;NULL;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
7;Murumuru;;Açaí;25;50;25;0,2676;505,1;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
8;Murumuru;;Açaí;16,65;33,35;50;0,1604;22,28;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
9;Murumuru;;Açaí;25;16,65;58,35;0,161;29,23;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
10;Murumuru;;Açaí;50;33,35;16,65;1;345,3;0;0;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
1;Tucumã;;Urucum;25;25;50;0,2109;32,47;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
2;Tucumã;;Urucum;16,65;50;33,35;0,1663;78,45;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
3;Tucumã;;Urucum;50;16,65;33,35;0,255;558,2;0;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
4;Tucumã;;Urucum;37,5;37,5;25;0,1534;383,4;0;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
5;Tucumã;;Urucum;25;50;25;0,2877;331,5;0;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
6;Tucumã;;Urucum;25;16,65;58,35;0,1609;25,47;1;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
7;Tucumã;;Urucum;50;25;25;0,3131;188,2;0;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
8;Tucumã;;Urucum;33,35;16,65;50;0,1189;36,86;1;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
9;Tucumã;;Urucum;16,65;25;58,35;0,34;176,2;0;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
10;Tucumã;;Urucum;33,35;50;16,65;0,4;1424;1;1;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
11;Tucumã;;Urucum;33,35;33,35;33,3;0,5828;1191;1;0;Manteiga de Tucumã;30;7,5;2;9;0;0;3,5;1;1,5;49,5;26;0;0;0;NULL;0;97;3;Óleo de urucum;0;7,5;4,5;26,5;57;0;0;0;0;0;0;0;0;0;NULL;0;14;86
1;Cupuaçu;;Açaí;25;25;50;0,24;82,99;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
2;Cupuaçu;;Açaí;16,65;50;33,35;0,656;205,6;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
3;Cupuaçu;;Açaí;50;16,65;33,35;0,43;1328;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
4;Cupuaçu;;Açaí;37,5;37,5;25;0,892;619,1;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
5;Cupuaçu;;Açaí;25;50;25;0,883;527,4;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
6;Cupuaçu;;Açaí;25;16,65;58,35;0,354;75,37;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
7;Cupuaçu;;Açaí;50;25;25;0,864;631,4;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
8;Cupuaçu;;Açaí;33,35;16,65;50;0,304;39,33;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
9;Cupuaçu;;Açaí;16,65;25;58,35;0,419;45,18;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
10;Cupuaçu;;Açaí;33,35;50;16,65;0,771;530,8;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
11;Cupuaçu;;Açaí;33,35;33,35;33,3;0,4;243,02;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;Óleo de Açaí;4;22,5;3,75;50;16;3,75;0;0;0;0;0;4;0;0;NULL;0;28;72
1;Cupuaçu ;;Cacau;25;25;50;0,21;41,03;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;Cupuaçu ;;Cacau;16,65;50;33,35;0,157;41,33;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;Cupuaçu ;;Cacau;50;16,65;33,35;0,692;211,2;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4;Cupuaçu ;;Cacau;37,5;37,5;25;0,373;369,9;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;Cupuaçu ;;Cacau;25;50;25;0,268;657,1;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;Cupuaçu ;;Cacau;25;16,65;58,35;0,351;42,94;1;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7;Cupuaçu ;;Cacau;50;25;25;0,662;640,1;0;1;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;Cupuaçu ;;Cacau;33,35;16,65;50;0,336;49,42;1;0;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9;Cupuaçu ;;Cacau;16,65;25;58,35;0,387;40,67;1;0;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;Cupuaçu ;;Cacau;33,35;50;16,65;0,2;2029;0;0;Manteiga de cupuaçu;27;9,5;31,5;42,5;5;0;0;0;0;0;0;0;1,5;0;NULL;3;55;45;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1;Ucuuba;;Buriti;25;25;50;0,04016;31,49;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
2;Ucuuba;;Buriti;16,65;50;33,35;0,2823;91,71;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
3;Ucuuba;;Buriti;50;16,65;33,35;0,2895;87,85;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
4;Ucuuba;;Buriti;37,5;37,5;25;1;105,2;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
5;Ucuuba;;Buriti;25;50;25;1;150;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
6;Ucuuba;;Buriti;25;16,65;58,35;0,08609;22,09;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
7;Ucuuba;;Buriti;50;25;25;1;138,4;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
8;Ucuuba;;Buriti;33,35;16,65;50;0,174;27,68;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
9;Ucuuba;;Buriti;16,65;25;58,35;0,7935;24,14;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
10;Ucuuba;;Buriti;33,35;50;16,65;1;382,3;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
11;Ucuuba;;Buriti;33,35;33,35;33,3;0,2015;84,96;0;0;Manteiga de Ucuuba;53;8;0;0;0;0;0;0;0;18;74;0;0;0;NULL;0;100;0;Óleo de Buriti;26,5;16,5;3,75;65;12,5;0;1;0;0;0;0;0;0;0,8;NULL;0;22;78
1;Murumuru;;Jambu;25;25;50;0,2785;36,88;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
2;Murumuru;;Jambu;16,65;50;33,35;0,1914;223,2;0;0;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
3;Murumuru;;Jambu;50;16,65;33,35;0,1129;58,2;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
4;Murumuru;;Jambu;37,5;37,5;25;0,4276;178,1;0;0;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
5;Murumuru;;Jambu;25;50;25;0,5782;376,1;0;0;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
6;Murumuru;;Jambu;25;16,65;58,35;0,3459;32,1;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
7;Murumuru;;Jambu;50;25;25;0,211;149,6;0;0;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
8;Murumuru;;Jambu;33,35;16,65;50;0,3746;41,95;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
9;Murumuru;;Jambu;16,65;25;58,35;0,1563;25,74;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
10;Murumuru;;Jambu;33,35;50;16,65;0,2894;2754;1;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
11;Murumuru;;Jambu;33,35;33,35;33,3;0,2182;149,8;0;1;Manteiga de murumuru;32,5;7,5;3,5;7,5;3,5;0;0;3;2;45;30,5;3;0;0;NULL;0;90;10;Óleo de Jambu;23;12,5;0;25;35;0;0;0;0;0;0;0;0;0;NULL;0;0;0
1;Manga;;Andiroba;25;25;50;0,385;1,137;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
2;Manga;;Andiroba;16,65;50;33,35;0,429;1,546;0;0;Manteiga de Manga;35,5;4,5;42;46;4,5;0;0;0;0;0;0;0;0;NULL;2,5;0;50,25;50,5;Óleo de andiroba;22;28,5;9,5;51,5;10;0;0;0;0;0;0;0,8;0;NULL;NULL;NULL;40;60
